Order,Entity Name,Attribute name,Storage Class,C Variable Name,HighEst Kind,HighEst Label,Description,Display Size,Format,,Attribute name
,Labor Rate Catalog,Reserved,,,LABCAT_KIND,LABCAT_CODE,Reserved,5,C
,Labor Rate Catalog,Reserved,,,LABCAT_KIND,LABCAT_LABORER,Reserved,23,s
,Labor Rate Catalog,Reserved,,,LABCAT_KIND,LABCAT_UNITS,Reserved,4,c
,Labor Rate Catalog,Reserved,,,LABCAT_KIND,LABCAT_RATE,Reserved,10,"n$,.."
,Labor Rate Catalog,Reserved,,,LABCAT_KIND,LABCAT_UNITSPERDAY,Reserved,9,n..
,Laborer,Total-Cost,Number,szTotal,LABOR_KIND,LTOTALCOST,,10,"N$,.."
,Laborer,Laborer,String,szLaborer,LABOR_KIND,LLABORER,,19,S
,Laborer,Units-Per-Day,Number,szUnitsPerDay,LABOR_KIND,LUNITSPERDAY,,7,n..
,Laborer,Quantity,Number,szQuantity,LABOR_KIND,LQUANTITY,,2,n
,Laborer,Rate,Number,szRate,LABOR_KIND,LRATE,,10,"N$,.."
,Laborer,Units,String,szUnits,LABOR_KIND,LUNITS,,4,C
,Laborer,Code,String,szCode,LABOR_KIND,LCODE,,5,S
,Material,Total-Cost,Number,szTotal,MATERIALS_KIND,MTOTALCOST,,10,"N$,.."
,Material,Laborer,String,szMaterial,MATERIALS_KIND,MMATERIALS,,19,S
,Material,Reserved,,,MATERIALS_KIND,MUNITSPERDAY,Reserved,,s
,Material,Quantity,Number,szQuantity,MATERIALS_KIND,MQUANTITY,,11,"n,...."
,Material,Rate,Number,szRate,MATERIALS_KIND,MRATE,,10,"N,...."
,Material,Units,String,szUnits,MATERIALS_KIND,MUNITS,,3,C
,Material,Code,String,szCode,MATERIALS_KIND,MCODE,,5,S
,Material Price,Code,String,szCode,MATLCAT_KIND,MATLCAT_CODE,,5,C
,Material Price,Material,String,szMaterial,MATLCAT_KIND,MATLCAT_MATL,,23,s
,Material Price,Units,String,szUnits,MATLCAT_KIND,MATLCAT_UNITS,,4,c
,Material Price,Price,Number,szPrice,MATLCAT_KIND,MATLCAT_RATE,,10,"n$,.."
,Material Price Catalog,Reserved,,,MATLCAT_KIND,MATLCAT_CODE,Reserved,5,C
